UKPRN,HE_Provider,Academic_employment_function,Contract_levels,Sex,Academic_Year,Contract_salary,Number,Salary_Band
10007774,The University of Oxford,All,Other contract level,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",1050,Band_4
10007774,The University of Oxford,All,Other contract level,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",415,Band_5
10007774,The University of Oxford,All,Other contract level,Female,2019/20,"Contract salary ≥ £61,618",210,Band_6
10007774,The University of Oxford,All,Other contract level,Female,2019/20,Total,2110,NA
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",5,Band_5
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,"Contract salary ≥ £61,618",60,Band_6
10007774,The University of Oxford,All,Other senior academic,Female,2019/20,Total,65,NA
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",10,Band_5
10007774,The University of Oxford,All,Professor,Female,2019/20,"Contract salary ≥ £61,618",225,Band_6
10007774,The University of Oxford,All,Professor,Female,2019/20,Total,235,NA
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",10,Band_3
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",50,Band_4
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",120,Band_5
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,"Contract salary ≥ £61,618",360,Band_6
10007774,The University of Oxford,Both teaching and research,All,Female,2019/20,Total,540,NA
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",10,Band_3
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",50,Band_4
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",120,Band_5
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,"Contract salary ≥ £61,618",155,Band_6
10007774,The University of Oxford,Both teaching and research,Other contract level,Female,2019/20,Total,330,NA
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",0,Band_5
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,"Contract salary ≥ £61,618",35,Band_6
10007774,The University of Oxford,Both teaching and research,Other senior academic,Female,2019/20,Total,35,NA
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",0,Band_5
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,"Contract salary ≥ £61,618",175,Band_6
10007774,The University of Oxford,Both teaching and research,Professor,Female,2019/20,Total,175,NA
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",0,Band_5
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,"Contract salary ≥ £61,618",0,Band_6
10007774,The University of Oxford,Neither teaching nor research,All,Female,2019/20,Total,5,NA
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",0,Band_5
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,"Contract salary ≥ £61,618",0,Band_6
10007774,The University of Oxford,Neither teaching nor research,Other contract level,Female,2019/20,Total,0,NA
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",0,Band_5
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,"Contract salary ≥ £61,618",0,Band_6
10007774,The University of Oxford,Neither teaching nor research,Other senior academic,Female,2019/20,Total,0,NA
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",415,Band_3
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",985,Band_4
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",305,Band_5
10007774,The University of Oxford,Research only,All,Female,2019/20,"Contract salary ≥ £61,618",135,Band_6
10007774,The University of Oxford,Research only,All,Female,2019/20,Total,1835,NA
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",415,Band_3
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",985,Band_4
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",290,Band_5
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,"Contract salary ≥ £61,618",55,Band_6
10007774,The University of Oxford,Research only,Other contract level,Female,2019/20,Total,1745,NA
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",5,Band_5
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,"Contract salary ≥ £61,618",25,Band_6
10007774,The University of Oxford,Research only,Other senior academic,Female,2019/20,Total,30,NA
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",0,Band_3
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",0,Band_4
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",5,Band_5
10007774,The University of Oxford,Research only,Professor,Female,2019/20,"Contract salary ≥ £61,618",50,Band_6
10007774,The University of Oxford,Research only,Professor,Female,2019/20,Total,60,NA
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary < £19,202",0,Band_1
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary ≥ £19,202 and < £25,482",0,Band_2
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary ≥ £25,482 and < £34,189",5,Band_3
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary ≥ £34,189 and < £45,892",20,Band_4
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary ≥ £45,892 and < £61,618",5,Band_5
10007774,The University of Oxford,Teaching only,All,Female,2019/20,"Contract salary ≥ £61,618",0,Band_6
10007774,The University of Oxford,Teaching only,All,Female,2019/20,Total,30,NA
10007774,The University of Oxford,Teaching only,Other contract level,Female,2019/20,"Contract salary < £19,202",0,Band_1
