UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	All	Female	2021/22	Contract salary ≥ £63,668	380	Band_6
10007774	The University of Oxford	Both teaching and research	All	Female	2021/22	Total	580	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	10	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	65	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	120	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Contract salary ≥ £63,668	145	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2021/22	Total	340	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Contract salary ≥ £63,668	35	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2021/22	Total	35	NA
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	5	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Contract salary ≥ £63,668	200	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	Female	2021/22	Total	205	NA
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Contract salary ≥ £63,668	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	All	Female	2021/22	Total	0	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Contract salary ≥ £63,668	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2021/22	Total	0	NA
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	365	Band_3
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	940	Band_4
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	305	Band_5
10007774	The University of Oxford	Research only	All	Female	2021/22	Contract salary ≥ £63,668	145	Band_6
10007774	The University of Oxford	Research only	All	Female	2021/22	Total	1755	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	365	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	940	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	295	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Contract salary ≥ £63,668	60	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2021/22	Total	1660	NA
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	5	Band_5
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Contract salary ≥ £63,668	25	Band_6
10007774	The University of Oxford	Research only	Other senior academic	Female	2021/22	Total	25	NA
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	10	Band_5
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Contract salary ≥ £63,668	60	Band_6
10007774	The University of Oxford	Research only	Professor	Female	2021/22	Total	70	NA
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	5	Band_3
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	25	Band_4
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	5	Band_5
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Contract salary ≥ £63,668	0	Band_6
10007774	The University of Oxford	Teaching only	All	Female	2021/22	Total	40	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	25	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	5	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Contract salary ≥ £63,668	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2021/22	Total	40	NA
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	385	Band_3
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	1030	Band_4
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	440	Band_5
10007774	The University of Oxford	All	All	Female	2021/22	Contract salary ≥ £63,668	530	Band_6
10007774	The University of Oxford	All	All	Female	2021/22	Total	2380	NA
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	385	Band_3
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	1030	Band_4
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	425	Band_5
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Contract salary ≥ £63,668	205	Band_6
10007774	The University of Oxford	All	Other contract level	Female	2021/22	Total	2045	NA
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	5	Band_5
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Contract salary ≥ £63,668	60	Band_6
10007774	The University of Oxford	All	Other senior academic	Female	2021/22	Total	65	NA
10007774	The University of Oxford	All	Professor	Female	2021/22	Contract salary < £20,092	0	Band_1
10007774	The University of Oxford	All	Professor	Female	2021/22	Contract salary ≥ £20,092 and < £26,341	0	Band_2
10007774	The University of Oxford	All	Professor	Female	2021/22	Contract salary ≥ £26,341 and < £35,326	0	Band_3
10007774	The University of Oxford	All	Professor	Female	2021/22	Contract salary ≥ £35,326 and < £47,419	0	Band_4
10007774	The University of Oxford	All	Professor	Female	2021/22	Contract salary ≥ £47,419 and < £63,668	10	Band_5
